Id;R;Nome;Squadra;Pg;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
3;P;RADUNOVIC;Cagliari;1;5,5;1,5;0;4;0;0;0;0;0;0;0;0
4;P;SPORTIELLO;Atalanta;1;6;4;0;2;0;0;0;0;0;0;0;0
11;D;CONTI;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO;Genoa;2;5,25;5;0;0;0;0;0;0;0;1;0;0
22;C;DE ROON;Atalanta;6;5,75;5,67;0;0;0;0;0;0;0;1;0;0
27;C;GRASSI;Cagliari;5;5,83;5,83;0;0;0;0;0;0;0;0;0;0
41;P;MIRANTE;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
42;P;SARR M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
45;D;FERRARI A.;Sampdoria;1;0;0;0;0;0;0;0;0;0;0;0;0
50;D;MBAYE;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
58;C;DIAWARA;Roma;1;0;0;0;0;0;0;0;0;0;0;0;0
73;D;GAGLIOLO;Salernitana;7;5,58;5,67;0;0;0;0;0;0;1;1;0;0
76;D;ROMAGNOLI S.;Empoli;5;5,6;5,6;0;0;0;0;0;0;0;0;0;0
90;A;LASAGNA;Verona;5;5,38;5,38;0;0;0;0;0;0;0;0;0;0
118;D;RADOVANOVIC;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
133;P;SKORUPSKI;Bologna;9;6,17;4;0;19;0;0;0;0;0;1;0;0
140;D;HYSAJ;Lazio;9;5,56;5,83;1;0;0;0;0;0;0;1;0;0
142;D;MARIO RUI;Napoli;9;6,17;6,22;0;0;0;0;0;0;2;3;0;0
144;D;TONELLI;Empoli;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
148;C;KRUNIC;Milan;5;6,4;6,6;0;0;0;0;0;0;1;0;0;0
150;C;SAPONARA;Fiorentina;8;6,5;7,33;1;0;0;0;0;0;2;0;0;0
152;C;ZIELINSKI;Napoli;8;6,12;6,75;1;0;0;0;0;0;2;0;0;0
158;P;LEZZERINI;Venezia;2;6,25;4,5;0;3;0;0;0;0;0;1;0;0
160;P;TATARUSANU;Milan;3;6,17;4,83;0;4;0;0;0;0;0;0;0;0
