Quotazioni Fantacalcio;;;;;;
Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
785;A;IMMOBILE;Lazio;41;38;3
608;A;ZAPATA D.;Atalanta;37;33;4
2764;A;MARTINEZ L.;Inter;35;32;3
647;A;DZEKO;Inter;35;29;6
2841;A;VLAHOVIC;Fiorentina;34;34;0
4661;A;OSIMHEN;Napoli;34;33;1
531;A;BERARDI;Sassuolo;34;31;3
1874;A;JOAO PEDRO;Cagliari;31;26;5
309;A;DYBALA;Juventus;29;25;4
645;C;MILINKOVIC-SAVIC;Lazio;28;24;4
530;C;PELLEGRINI LO.;Roma;28;22;6
507;A;MURIEL;Atalanta;28;39;-11
2530;A;IBRAHIMOVIC;Milan;28;33;-5
472;A;DESTRO;Genoa;27;21;6
2215;C;VERETOUT;Roma;26;23;3
332;C;CANDREVA;Sampdoria;26;18;8
2544;A;ABRAHAM;Roma;26;28;-2
1870;C;BARELLA;Inter;25;18;7
409;A;INSIGNE;Napoli;25;32;-7
2775;C;RUIZ;Napoli;24;17;7
2172;C;BARAK;Verona;24;17;7
4200;A;GIROUD;Milan;24;20;4
4268;A;ARNAUTOVIC;Bologna;24;24;0
2529;C;MKHITARYAN;Roma;23;30;-7
2719;A;BARROW;Bologna;23;18;5
4510;A;RAFAEL LEAO;Milan;23;14;9
4517;A;LOZANO;Napoli;23;24;-1
2002;C;CHIESA;Juventus;22;29;-7
335;C;FELIPE ANDERSON;Lazio;22;16;6
186;A;REBIC;Milan;22;23;-1
2819;A;CAPUTO;Sampdoria;22;26;-4
4292;D;HERNANDEZ T.;Milan;21;21;0
392;D;KOULIBALY;Napoli;21;12;9
4427;C;MALINOVSKYI;Atalanta;21;26;-5
152;C;ZIELINSKI;Napoli;21;24;-3
177;A;ILICIC;Atalanta;21;21;0
215;A;VERDE;Spezia;21;14;7
441;A;BELOTTI;Torino;21;30;-9
581;D;FARAONI;Verona;20;14;6
2077;C;PASALIC;Atalanta;20;18;2
827;C;LOCATELLI;Juventus;20;16;4
2061;A;SIMEONE;Verona;20;13;7
2097;A;KEAN;Juventus;20;21;-1
2085;C;LUIS ALBERTO;Lazio;19;25;-6
1850;C;KESSIE';Milan;19;27;-8
1995;C;DJURICIC;Sassuolo;19;15;4
536;A;POLITANO;Napoli;19;19;0
2160;D;GOSENS;Atalanta;18;25;-7
704;C;PERISIC;Inter;18;13;5
4825;C;DIAZ B.;Milan;18;13;5
302;C;PEREYRA;Udinese;18;17;1
632;C;ZACCAGNI;Lazio;18;18;0
4179;A;GONZALEZ N.;Fiorentina;18;16;2
313;A;MORATA;Juventus;18;23;-5
495;A;CORREA;Inter;18;20;-2
1958;A;CAPRARI;Verona;18;10;8
2759;D;CRISCITO;Genoa;17;8;9
798;D;SKRINIAR;Inter;17;15;2
357;D;CALABRIA;Milan;17;11;6
554;D;ZAPPACOSTA;Atalanta;17;15;2
1980;C;ARAMU;Venezia;17;10;7
410;A;MERTENS;Napoli;17;25;-8
568;A;QUAGLIARELLA;Sampdoria;17;22;-5
4312;P;MAIGNAN;Milan;16;15;1
2788;D;BREMER;Torino;16;12;4
5451;C;BAJRAMI;Empoli;16;10;6
2194;C;CALHANOGLU;Inter;16;19;-3
2857;C;TRAORE' HJ.;Sassuolo;16;14;2
2475;A;SANCHEZ;Inter;16;22;-6
4371;A;RASPADORI;Sassuolo;16;16;0
479;A;SANABRIA;Torino;16;15;1
2119;A;DEULOFEU;Udinese;16;11;5
2170;P;MILINKOVIC-SAVIC V.;Torino;15;9;6
697;D;CUADRADO;Juventus;15;18;-3
4428;D;DE LIGT;Juventus;15;12;3
4409;D;RRAHMANI;Napoli;15;5;10
706;D;ANSALDI;Torino;15;11;4
367;C;BONAVENTURA;Fiorentina;15;11;4
4988;C;MAGGIORE;Spezia;15;13;2
5007;C;ILIC;Verona;15;8;7
2038;A;PINAMONTI;Empoli;15;7;8
2832;A;BOGA;Sassuolo;15;17;-2
2489;A;PEDRO;Lazio;15;12;3
345;A;KEITA B.;Cagliari;15;13;2
5694;A;BETO;Udinese;15;10;5
2409;A;RIBERY;Salernitana;15;14;1
4270;P;RUI PATRICIO;Roma;14;14;0
487;D;DE SILVESTRI;Bologna;14;7;7
2525;D;DARMIAN;Inter;14;9;5
254;D;DIMARCO;Inter;14;8;6
286;D;BONUCCI;Juventus;14;12;2
4899;D;SINGO;Torino;14;6;8
4459;C;ROVELLA;Genoa;14;4;10
2833;C;KULUSEVSKI;Juventus;14;20;-6
2818;C;BENNACER;Milan;14;7;7
5298;C;POBEGA;Torino;14;6;8
4449;C;TONALI;Milan;14;5;9
2137;A;SCAMACCA;Sassuolo;14;14;0
652;A;KALINIC;Verona;14;9;5
5515;A;OKEREKE;Venezia;14;7;7
4184;A;BREKALO;Torino;14;11;3
2164;D;MILENKOVIC;Fiorentina;13;10;3
4751;D;TOMORI;Milan;13;12;1
2180;D;KARSDORP;Roma;13;12;1
4895;D;YOSHIDA;Sampdoria;13;9;4
5332;D;BASTONI S.;Spezia;13;7;6
4998;D;MOLINA N.;Udinese;13;12;1
150;C;SAPONARA;Fiorentina;13;8;5
4892;C;SAELEMAEKERS;Milan;13;11;2
2766;C;ZANIOLO;Roma;13;19;-6
2284;A;CAICEDO;Genoa;13;14;-1
5233;A;MAYORAL;Roma;13;21;-8
1997;A;SIMY;Salernitana;13;18;-5
2792;P;MUSSO;Atalanta;12;16;-4
250;P;HANDANOVIC;Inter;12;17;-5
453;P;SZCZESNY;Juventus;12;17;-5
2468;P;OSPINA;Napoli;12;1;11
509;P;CONSIGLI;Sassuolo;12;12;0
4331;D;IBANEZ;Roma;12;7;5
5675;D;THEATE;Bologna;12;7;5
2625;C;SORIANO;Bologna;12;20;-8
2744;C;SVANBERG;Bologna;12;12;0
4965;C;MARIN;Cagliari;12;12;0
2778;C;STULAC;Empoli;12;5;7
265;C;BROZOVIC;Inter;12;14;-2
4479;C;ELMAS;Napoli;12;7;5
2848;C;FRATTESI;Sassuolo;12;7;5
2009;C;LUKIC;Torino;12;9;3
5507;C;BUSIO;Venezia;12;5;7
4220;C;ZAMBO ANGUISSA;Napoli;12;7;5
247;A;PAVOLETTI;Cagliari;12;18;-6
5454;A;MANCUSO;Empoli;12;13;-1
5311;A;SHOMURODOV;Roma;12;16;-4
795;A;EL SHAARAWY;Roma;12;11;1
505;A;BONAZZOLI;Salernitana;12;8;4
4992;A;GYASI;Spezia;12;13;-1
5336;A;NZOLA;Spezia;12;20;-8
2826;A;PUSSETTO;Udinese;12;13;-1
2211;P;SILVESTRI;Udinese;11;10;1
252;D;BIRAGHI;Fiorentina;11;9;2
633;D;FARES;Genoa;11;4;7
2816;D;DI LORENZO;Napoli;11;11;0
142;D;MARIO RUI;Napoli;11;5;6
4421;D;AUGELLO;Sampdoria;11;9;2
2280;D;NUYTINCK;Udinese;11;10;1
288;D;CHIELLINI;Juventus;11;10;1
5520;D;CAMBIASO;Genoa;11;1;10
2167;C;ORSOLINI;Bologna;11;18;-7
2253;C;BANDINELLI;Empoli;11;2;9
4681;C;LOPEZ M.;Sassuolo;11;8;3
2144;C;COULIBALY M.;Salernitana;11;4;7
236;C;LAZOVIC;Verona;11;15;-4
5685;C;KOOPMEINERS;Atalanta;11;8;3
4359;A;PICCOLI;Atalanta;11;12;-1
5529;A;HENRY;Venezia;11;12;-1
1917;P;DRAGOWSKI;Fiorentina;10;11;-1
572;P;MERET;Napoli;10;14;-4
5300;D;HICKEY;Bologna;10;3;7
1866;D;CEPPITELLI;Cagliari;10;6;4
2263;D;LAZZARI;Lazio;10;10;0
2633;D;KJAER;Milan;10;12;-2
5513;D;DUMFRIES;Inter;10;12;-2
4514;C;NANDEZ;Cagliari;10;12;-2
181;C;VECINO;Inter;10;5;5
4973;C;MCKENNIE;Juventus;10;15;-5
333;C;CATALDI;Lazio;10;3;7
376;C;VERDI;Torino;10;11;-1
2065;C;PRAET;Torino;10;10;0
5471;A;DJURIC;Salernitana;10;6;4
407;A;GABBIADINI;Sampdoria;10;16;-6
2155;A;CUTRONE;Empoli;10;14;-4
387;P;REINA;Lazio;9;14;-5
695;D;TOLOI;Atalanta;9;9;0
2120;D;BASTONI;Inter;9;11;-2
322;D;DE VRIJ;Inter;9;14;-5
662;D;ALEX SANDRO;Juventus;9;11;-2
4237;D;DANILO;Juventus;9;14;-5
460;D;ROMAGNOLI;Milan;9;7;2
2296;D;MANCINI;Roma;9;14;-5
5479;D;CECCARONI;Venezia;9;5;4
5498;D;CASALE;Verona;9;3;6
788;C;FREULER;Atalanta;9;15;-6
5001;C;MIRANCHUK;Atalanta;9;15;-6
2741;C;PESSINA;Atalanta;9;14;-5
5453;C;RICCI S.;Empoli;9;5;4
4377;C;CASTROVILLI;Fiorentina;9;14;-5
2839;C;SOTTIL;Fiorentina;9;8;1
2414;C;VIDAL;Inter;9;8;1
148;C;KRUNIC;Milan;9;5;4
779;C;CRISTANTE;Roma;9;7;2
